start_ip,end_ip,asn,name,domain
1.0.0.0,1.0.0.255,AS13335,"Cloudflare, Inc.",cloudflare.com
1.0.4.0,1.0.7.255,AS38803,Gtelecom Pty Ltd,gtelecom.com.au
1.0.16.0,1.0.16.255,AS2519,ARTERIA Networks Corporation,arteria-net.com
1.0.64.0,1.0.127.255,AS18144,"Enecom,Inc.",enecom.co.jp
1.0.128.0,1.0.255.255,AS23969,TOT Public Company Limited,ntplc.co.th
1.1.1.0,1.1.1.255,AS13335,"Cloudflare, Inc.",cloudflare.com
1.1.8.0,1.1.8.255,AS138421,China Unicom,chinaunicom.cn
1.1.64.0,1.1.126.255,AS2519,ARTERIA Networks Corporation,arteria-net.com
1.1.128.0,1.1.255.255,AS23969,TOT Public Company Limited,ntplc.co.th
1.2.4.0,1.2.4.255,AS24151,China Internet Network Infomation Center,cnnic.cn
1.2.128.0,1.2.255.255,AS23969,TOT Public Company Limited,ntplc.co.th
1.4.128.0,1.4.255.255,AS23969,TOT Public Company Limited,ntplc.co.th
1.5.0.0,1.5.255.255,AS4725,SoftBank Corp.,softbank.jp
1.6.0.0,1.6.135.255,AS9583,Sify Limited,sifycorp.com
1.6.136.0,1.6.136.255,AS132215,Powergrid Teleservices Limited,powergrid.in
1.6.137.0,1.6.225.255,AS9583,Sify Limited,sifycorp.com
1.6.226.0,1.6.228.255,AS132215,Powergrid Teleservices Limited,powergrid.in
1.6.229.0,1.6.230.255,AS4755,TATA Communications formerly VSNL is Leading ISP,tatacommunications.com
1.6.231.0,1.7.0.255,AS9583,Sify Limited,sifycorp.com
1.7.8.0,1.7.23.255,AS9583,Sify Limited,sifycorp.com
1.7.128.0,1.7.141.255,AS9583,Sify Limited,sifycorp.com
1.7.142.0,1.7.142.255,AS132215,Powergrid Teleservices Limited,powergrid.in
1.7.143.0,1.7.150.255,AS9583,Sify Limited,sifycorp.com
1.7.151.0,1.7.151.255,AS132215,Powergrid Teleservices Limited,powergrid.in
1.7.152.0,1.7.160.255,AS9583,Sify Limited,sifycorp.com
1.7.161.0,1.7.162.255,AS132215,Powergrid Teleservices Limited,powergrid.in
1.7.163.0,1.7.179.255,AS9583,Sify Limited,sifycorp.com
1.7.180.0,1.7.180.255,AS132215,Powergrid Teleservices Limited,powergrid.in
1.7.181.0,1.7.199.255,AS9583,Sify Limited,sifycorp.com
1.7.200.0,1.7.202.255,AS132215,Powergrid Teleservices Limited,powergrid.in
1.7.203.0,1.7.203.255,AS4755,TATA Communications formerly VSNL is Leading ISP,tatacommunications.com
1.7.204.0,1.7.224.255,AS9583,Sify Limited,sifycorp.com
1.7.225.0,1.7.225.255,AS396421,PALO ALTO NETWORKS,paloaltonetworks.com
1.7.226.0,1.7.245.255,AS9583,Sify Limited,sifycorp.com
1.8.1.0,1.8.1.255,AS38345,Internet Domain Name System Beijing Engineering Resrarch Center Ltd.,knet.cn
1.8.8.0,1.8.8.255,AS38345,Internet Domain Name System Beijing Engineering Resrarch Center Ltd.,knet.cn
1.9.0.0,1.9.255.255,AS4788,TM TECHNOLOGY SERVICES SDN. BHD.,tm.com.my
1.10.10.0,1.10.10.255,AS148000,1.10.10.10 - Indian Public DNS,dns.nic.in
1.10.128.0,1.10.255.255,AS23969,TOT Public Company Limited,ntplc.co.th
1.11.0.0,1.11.7.255,AS18313,LG HelloVision Corp.,lghellovision.net
1.11.8.0,1.11.19.255,AS18318,LG HelloVision Corp.,lghellovision.net
1.11.20.0,1.11.23.255,AS38091,LG HelloVision Corp.,lghellovision.net
1.11.24.0,1.11.31.255,AS18313,LG HelloVision Corp.,lghellovision.net
1.11.32.0,1.11.39.255,AS17598,LG HelloVision Corp.,lghellovision.net
1.11.40.0,1.11.47.255,AS18313,LG HelloVision Corp.,lghellovision.net
1.11.48.0,1.11.48.255,AS17598,LG HelloVision Corp.,lghellovision.net
1.11.49.0,1.11.55.255,AS38091,LG HelloVision Corp.,lghellovision.net
1.11.56.0,1.11.63.255,AS18313,LG HelloVision Corp.,lghellovision.net
1.11.64.0,1.11.91.255,AS38091,LG HelloVision Corp.,lghellovision.net
1.11.92.0,1.11.94.255,AS45996,DAOU TECHNOLOGY,daou.co.kr
